post_id,user_id,timestamp,likes,comments,shares,reach,sentiment,label
1,2510,2025-02-01 00:00:00,211,14,63,22864,neutral,0
2,2365,2025-02-01 01:00:00,395,113,268,10876,positive,0
3,2382,2025-02-01 02:00:00,70,128,26,12357,positive,0
4,2322,2025-02-01 03:00:00,227,130,297,38864,positive,0
5,2988,2025-02-01 04:00:00,203,37,253,20687,positive,1
6,2098,2025-02-01 05:00:00,557,175,143,16501,negative,0
7,2742,2025-02-01 06:00:00,81,62,234,12229,positive,1
8,2017,2025-02-01 07:00:00,465,189,180,1805,positive,0
9,2595,2025-02-01 08:00:00,670,14,45,10150,neutral,0
10,2106,2025-02-01 09:00:00,495,61,292,1263,positive,1
11,2123,2025-02-01 10:00:00,640,124,231,39431,neutral,1
12,2569,2025-02-01 11:00:00,502,105,201,23486,positive,1
13,2214,2025-02-01 12:00:00,140,81,142,16756,positive,1
14,2737,2025-02-01 13:00:00,786,37,289,38079,negative,0
15,2096,2025-02-01 14:00:00,433,147,213,31883,neutral,0
16,2113,2025-02-01 15:00:00,768,186,213,21283,positive,0
17,2638,2025-02-01 16:00:00,262,6,8,19949,negative,1
18,2047,2025-02-01 17:00:00,764,100,153,1570,neutral,1
19,2073,2025-02-01 18:00:00,686,71,245,12073,positive,0
20,2544,2025-02-01 19:00:00,211,77,256,39481,negative,1
21,2942,2025-02-01 20:00:00,445,78,278,20501,positive,0
22,2224,2025-02-01 21:00:00,476,198,288,6323,neutral,1
23,2111,2025-02-01 22:00:00,580,51,94,27943,neutral,1
24,2409,2025-02-01 23:00:00,486,97,276,2044,negative,0
25,2339,2025-02-02 00:00:00,520,3,214,17540,positive,0
26,2846,2025-02-02 01:00:00,22,128,207,860,neutral,1
27,2253,2025-02-02 02:00:00,93,104,60,13412,positive,1
28,2420,2025-02-02 03:00:00,755,126,282,31971,neutral,0
29,2608,2025-02-02 04:00:00,220,126,228,35060,negative,1
30,2208,2025-02-02 05:00:00,202,77,101,6670,positive,1
31,2068,2025-02-02 06:00:00,614,94,179,3318,negative,0
32,2817,2025-02-02 07:00:00,567,165,141,32409,negative,0
33,2823,2025-02-02 08:00:00,362,113,262,17877,neutral,0
34,2451,2025-02-02 09:00:00,135,52,155,4534,negative,0
35,2002,2025-02-02 10:00:00,663,83,242,35511,negative,1
36,2340,2025-02-02 11:00:00,562,2,84,3940,positive,1
37,2039,2025-02-02 12:00:00,535,14,190,5434,positive,0
38,2322,2025-02-02 13:00:00,480,2,284,1787,negative,0
39,2596,2025-02-02 14:00:00,691,91,66,15159,neutral,0
40,2559,2025-02-02 15:00:00,508,110,212,13362,positive,1
41,2504,2025-02-02 16:00:00,78,160,93,15099,negative,0
42,2957,2025-02-02 17:00:00,579,183,47,26653,positive,0
43,2176,2025-02-02 18:00:00,712,121,296,39112,neutral,1
44,2135,2025-02-02 19:00:00,656,32,122,5155,neutral,0
45,2873,2025-02-02 20:00:00,415,158,136,22796,positive,1
46,2099,2025-02-02 21:00:00,97,3,175,15620,positive,1
47,2380,2025-02-02 22:00:00,464,79,214,3395,negative,0
48,2860,2025-02-02 23:00:00,562,112,181,5661,positive,1
49,2180,2025-02-03 00:00:00,639,106,22,9074,negative,1
50,2358,2025-02-03 01:00:00,447,78,192,34772,negative,0
51,2865,2025-02-03 02:00:00,192,111,148,23814,positive,0
52,2213,2025-02-03 03:00:00,412,21,153,14984,neutral,0
53,2630,2025-02-03 04:00:00,286,158,32,38227,negative,0
54,2862,2025-02-03 05:00:00,446,187,187,14977,negative,0
55,2411,2025-02-03 06:00:00,627,84,80,35645,positive,0
56,2290,2025-02-03 07:00:00,512,31,69,28782,positive,1
57,2993,2025-02-03 08:00:00,264,70,6,3971,neutral,1
58,2588,2025-02-03 09:00:00,616,135,127,11757,positive,1
59,2680,2025-02-03 10:00:00,723,77,6,2271,negative,0
60,2899,2025-02-03 11:00:00,346,189,120,34065,positive,0
61,2106,2025-02-03 12:00:00,507,27,228,16300,negative,0
62,2837,2025-02-03 13:00:00,437,65,160,9433,positive,0
63,2576,2025-02-03 14:00:00,317,16,113,12830,positive,0
64,2843,2025-02-03 15:00:00,617,129,137,14268,positive,1
65,2418,2025-02-03 16:00:00,330,135,208,25464,positive,0
66,2826,2025-02-03 17:00:00,117,37,283,21429,neutral,1
67,2394,2025-02-03 18:00:00,317,147,174,22391,negative,0
68,2790,2025-02-03 19:00:00,577,112,21,5206,neutral,0
69,2717,2025-02-03 20:00:00,654,191,20,11595,positive,0
70,2146,2025-02-03 21:00:00,199,120,253,1587,neutral,1
71,2484,2025-02-03 22:00:00,678,148,183,28116,positive,1
72,2271,2025-02-03 23:00:00,74,89,287,1290,negative,0
73,2411,2025-02-04 00:00:00,641,30,159,11729,negative,1
74,2765,2025-02-04 01:00:00,398,69,163,8859,neutral,0
75,2158,2025-02-04 02:00:00,212,113,276,37914,neutral,1
76,2180,2025-02-04 03:00:00,256,142,34,22552,negative,0
77,2582,2025-02-04 04:00:00,545,184,205,18707,positive,0
78,2365,2025-02-04 05:00:00,327,0,22,32422,positive,0
79,2371,2025-02-04 06:00:00,15,89,253,6170,negative,0
80,2154,2025-02-04 07:00:00,745,28,169,17795,neutral,1
81,2720,2025-02-04 08:00:00,776,65,253,9649,positive,1
82,2390,2025-02-04 09:00:00,776,21,23,34216,positive,1
83,2782,2025-02-04 10:00:00,796,188,124,8319,negative,0
84,2255,2025-02-04 11:00:00,736,28,250,27563,neutral,0
85,2244,2025-02-04 12:00:00,700,8,157,31440,positive,0
86,2359,2025-02-04 13:00:00,295,40,198,33348,neutral,0
87,2971,2025-02-04 14:00:00,298,20,199,38815,neutral,1
88,2950,2025-02-04 15:00:00,310,182,217,13168,neutral,1
89,2967,2025-02-04 16:00:00,670,95,40,3094,positive,1
